UniqueId,Name,FareZones,HubNaptanCode,Wifi,OutsideStationUniqueId,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,PierInterchange,NationalRailInterchange,AirportInterchange,EmiratesAirLineInterchange
HUBABW,Abbey Wood,4,HUBABW,False,HUBABW-Outside,False,,False,,,,,
910GACTNCTL,Acton Central,3,,True,910GACTNCTL-Outside,False,,False,,,,,
910GACTONML,Acton Main Line,3,,False,910GACTONML-Outside,False,,False,,,,,
910GANERLEY,Anerley,4,,True,910GANERLEY-Outside,False,,False,,,,,
910GBCKNHMH,Beckenham Hill,4,,False,910GBCKNHMH-Outside,False,,False,,,,,
910GBELNGHM,Bellingham,3,,False,910GBELNGHM-Outside,False,,False,,,,,
910GBHILLPK,Bush Hill Park,5,,True,910GBHILLPK-Outside,True,2.0,False,,,,,
910GBICKLEY,Bickley,5,,False,910GBICKLEY-Outside,False,,False,,,,,
910GBNHAM,Burnham,Outside,,False,910GBNHAM-Outside,False,,False,,,,,
910GBRBY,Brondesbury,2,,True,910GBRBY-Outside,False,,False,,,,,
910GBRBYPK,Brondesbury Park,2,,False,910GBRBYPK-Outside,False,,False,,,,,
910GBRENTX,Brent Cross West Station,3,,False,910GBRENTX-Outside,False,,False,,,,,
910GBROCKLY,Brockley,2,,True,910GBROCKLY-Outside,False,,False,,,,,
910GBROMLYS,Bromley South,5,,False,910GBROMLYS-Outside,False,,False,,,,,
910GBRTWOOD,Brentwood,9,,True,910GBRTWOOD-Outside,True,17.0,False,,,,,
910GBRUCGRV,Bruce Grove,3,,True,910GBRUCGRV-Outside,False,,False,,,,,
910GBTHNLGR,Bethnal Green,2,,True,910GBTHNLGR-Outside,False,,False,,,,,
910GCAMHTH,Cambridge Heath,2,,False,910GCAMHTH-Outside,False,,False,,,,,
910GCATFORD,Catford,3,,False,910GCATFORD-Outside,False,,False,,,,,
910GCFPK,Crofton Park,3,,False,910GCFPK-Outside,False,,False,,,,,
910GCHDWLHT,Chadwell Heath,5,,False,910GCHDWLHT-Outside,False,,False,,,,,
910GCHESHNT,Cheshunt,8,,True,910GCHESHNT-Outside,True,5.0,False,,,Partial,,
910GCHINGFD,Chingford,5,,True,910GCHINGFD-Outside,True,3.0,False,,,,,
910GCLAPTON,Clapton,2|3,,True,910GCLAPTON-Outside,False,,False,,,,,
910GCLDNNRB,Caledonian Road & Barnsbury,2,,False,910GCLDNNRB-Outside,False,,False,,,,,
910GCLPHHS,Clapham High Street,2,,False,910GCLPHHS-Outside,False,,False,,,,,
910GCMDNRD,Camden Road,2,,True,910GCMDNRD-Outside,False,,False,,,,,
910GCNNB,Canonbury,2,,False,910GCNNB-Outside,False,,False,,,,,
910GCOLSDNS,Coulsdon South,6,,True,910GCOLSDNS-Outside,False,,False,,,,,
910GCRKLWD,Cricklewood,3,,True,910GCRKLWD-Outside,False,,False,,,,,
910GCRLN,Charlton,3,,False,910GCRLN-Outside,False,,False,,,,,
910GCROUCHH,Crouch Hill,3,,False,910GCROUCHH-Outside,False,,False,,,,,
910GCRPNDPK,Carpenders Park,7,,True,910GCRPNDPK-Outside,False,,False,,,,,
910GCRSHLTN,Carshalton,5,,True,910GCRSHLTN-Outside,False,,False,,,,,
910GCTMSLNK,City Thameslink,1,,True,910GCTMSLNK-Outside,False,,False,,,,,
910GDALS,Dalston Junction,2,,False,910GDALS-Outside,False,,False,,,,,
910GDALSKLD,Dalston Kingsland,2,,False,910GDALSKLD-Outside,False,,False,,,,,
910GDARTFD,Dartford,8,,False,910GDARTFD-Outside,False,,False,,,,,
910GDENMRKH,Denmark Hill,2,,True,910GDENMRKH-Outside,False,,False,,,Partial,,
910GDEPTFD,Deptford,2,,False,910GDEPTFD-Outside,False,,False,,,,,
910GEDMNGRN,Edmonton Green,4,,True,910GEDMNGRN-Outside,False,,False,,,,,
910GELTR,Elstree & Borehamwood,6,,True,910GELTR-Outside,False,,False,,,,,
910GEMRSPKH,Emerson Park,6,,False,910GEMRSPKH-Outside,False,,False,,,,,
910GENFLDTN,Enfield Town,5,,True,910GENFLDTN-Outside,False,,False,,,,,
910GESTFLDS,Mitcham Eastfields,3,,False,910GESTFLDS-Outside,False,,False,,,,,
910GFNCHLYR,Finchley Road & Frognal,2,,True,910GFNCHLYR-Outside,False,,False,,,,,
910GFORESTH,Forest Hill,3,,False,910GFORESTH-Outside,True,1.0,False,,,Partial,,
910GFRSTGT,Forest Gate,3,,False,910GFRSTGT-Outside,False,,False,,,,,
910GGIDEAPK,Gidea Park,6,,True,910GGIDEAPK-Outside,False,,False,,,,,
910GGODMAYS,Goodmayes,4,,True,910GGODMAYS-Outside,False,,False,,,,,
910GGOSPLOK,Gospel Oak,2,,True,910GGOSPLOK-Outside,False,,False,,,,,
910GHACKNYC,Hackney Central,2,,True,910GHACKNYC-Outside,False,,False,,,,,
910GHACKNYW,Hackney Wick,2,,False,910GHACKNYW-Outside,False,,False,,,,,
910GHAGGERS,Haggerston,2,,False,910GHAGGERS-Outside,False,,False,,,,,
910GHAKNYNM,Hackney Downs,2,,True,910GHAKNYNM-Outside,False,,False,,,,,
910GHANWELL,Hanwell,4,,False,910GHANWELL-Outside,False,,False,,,,,
910GHAYESAH,Hayes & Harlington,5,,False,910GHAYESAH-Outside,False,,False,,,,,
910GHDON,Hendon,3|4,,True,910GHDON-Outside,False,,False,,,,,
910GHEDSTNL,Headstone Lane,5,,True,910GHEDSTNL-Outside,False,,False,,,,,
910GHERNEH,Herne Hill,2|3,,False,910GHERNEH-Outside,False,,False,,,,,
910GHGHMSPK,Highams Park,4,,True,910GHGHMSPK-Outside,True,2.0,False,,,,,
910GHKBG,Hackbridge,4,,False,910GHKBG-Outside,False,,False,,,,,
910GHMPSTDH,Hampstead Heath,2,,True,910GHMPSTDH-Outside,False,,False,,,,,
910GHOMRTON,Homerton,2,,True,910GHOMRTON-Outside,False,,False,,,,,
910GHONROPK,Honor Oak Park,3,,True,910GHONROPK-Outside,False,,False,,,,,
910GHOXTON,Hoxton,1|2,,False,910GHOXTON-Outside,False,,False,,,,,
910GHRGYGL,Harringay Green Lanes,3,,False,910GHRGYGL-Outside,False,,False,,,,,
910GHRLDWOD,Harold Wood,6,,False,910GHRLDWOD-Outside,True,2.0,False,,,,,
910GHTCHEND,Hatch End,6,,False,910GHTCHEND-Outside,True,2.0,False,,,,,
910GHYDNSRD,Haydons Road,3,,False,910GHYDNSRD-Outside,False,,False,,,,,
910GILFORD,Ilford,4,,False,910GILFORD-Outside,False,,False,,,,,
910GIVER,Iver,Outside,,False,910GIVER-Outside,False,,False,,,,,
910GKENR,Kensal Rise,2,,True,910GKENR-Outside,False,,False,,,,,
910GKLBRNHR,Kilburn High Road,2,,True,910GKLBRNHR-Outside,False,,False,,,,,
910GKNTSHTW,Kentish Town West,2,,False,910GKNTSHTW-Outside,False,,False,,,,,
910GLANGLEY,Langley,Outside,,False,910GLANGLEY-Outside,False,,False,,,,,
910GLBGHJN,Loughborough Junction,2,,True,910GLBGHJN-Outside,False,,False,,,,,
910GLEYTNMR,Leyton Midland Road,3,,True,910GLEYTNMR-Outside,False,,False,,,,,
910GLONFLDS,London Fields,2,,True,910GLONFLDS-Outside,False,,False,,,,,
910GLYTNSHR,Leytonstone High Road,3,,False,910GLYTNSHR-Outside,False,,False,,,,,
910GMANRPK,Manor Park,3|4,,True,910GMANRPK-Outside,False,,False,,,,,
910GMAZEH,Maze Hill,3,,False,910GMAZEH-Outside,False,,False,,,,,
910GMDNHEAD,Maidenhead,Outside,,True,910GMDNHEAD-Outside,False,,False,,,,,
910GMLHB,Mill Hill Broadway,4,,True,910GMLHB-Outside,False,,False,,,,,
910GMORDENS,Morden South,4,,False,910GMORDENS-Outside,False,,False,,,,,
910GMRYLAND,Maryland,3,,True,910GMRYLAND-Outside,False,,False,,,,,
910GNBARNET,New Barnet,5,,True,910GNBARNET-Outside,False,,False,,,,,
910GNEWSGAT,New Southgate,4,,False,910GNEWSGAT-Outside,False,,False,,,,,
910GNUNHEAD,Nunhead,2,,False,910GNUNHEAD-Outside,False,,False,,,,,
910GOKLGHPK,Oakleigh Park,4,,True,910GOKLGHPK-Outside,False,,False,,,,,
910GORPNGTN,Orpington,6,,False,910GORPNGTN-Outside,False,,False,,,,,
910GPCKHMQD,Queens Road Peckham,2,,True,910GPCKHMQD-Outside,False,,False,,,Partial,,
910GPCKHMRY,Peckham Rye,2,,False,910GPCKHMRY-Outside,False,,False,,,,,
910GPENEW,Penge West,4,,True,910GPENEW-Outside,True,2.0,False,,,,,
910GPETSWD,Petts Wood,5,,False,910GPETSWD-Outside,False,,False,,,,,
910GPLMS,Plumstead,4,,False,910GPLMS-Outside,False,,False,,,,,
910GPURLEY,Purley,6,,True,910GPURLEY-Outside,False,,False,,,,,
910GRBRN,Ravensbourne,4,,False,910GRBRN-Outside,False,,False,,,,,
910GRCTRYRD,Rectory Road,2,,True,910GRCTRYRD-Outside,False,,False,,,,,
910GRDNGSTN,Reading,Outside,,False,910GRDNGSTN-Outside,False,,False,,,,,
910GROMFORD,Romford,6,,True,910GROMFORD-Outside,False,,False,,,Partial,,
910GRTHERHI,Rotherhithe,2,,False,910GRTHERHI-Outside,False,,False,,,,,
910GSACTON,South Acton,3,,True,910GSACTON-Outside,False,,False,,,,,
910GSBURY,Southbury,5,,True,910GSBURY-Outside,False,,False,,,,,
910GSCROYDN,South Croydon,5,,True,910GSCROYDN-Outside,False,,False,,,,,
910GSHENFLD,Shenfield,Outside,,True,910GSHENFLD-Outside,False,,False,,,Partial,,
910GSHLIER,St Helier (London),4,,False,910GSHLIER-Outside,False,,False,,,,,
910GSHMPSTD,South Hampstead,2,,False,910GSHMPSTD-Outside,False,,False,,,,,
910GSHRDHST,Shoreditch High Street,1,,False,910GSHRDHST-Outside,False,,False,,,,,
910GSHRTLND,Shortlands,4,,False,910GSHRTLND-Outside,False,,False,,,,,
910GSIVRST,Silver Street,4,,True,910GSIVRST-Outside,False,,False,,,,,
910GSLADEGN,Slade Green,6,,False,910GSLADEGN-Outside,False,,False,,,,,
910GSLOUGH,Slough,Outside,,True,910GSLOUGH-Outside,False,,False,,,,,
910GSMERTON,South Merton,4,,False,910GSMERTON-Outside,False,,False,,,,,
910GSTHALL,Southall,4,,False,910GSTHALL-Outside,False,,False,,,,,
910GSTJMSST,St James Street,3,,True,910GSTJMSST-Outside,False,,False,,,,,
910GSTKNWNG,Stoke Newington,2,,True,910GSTKNWNG-Outside,False,,False,,,,,
910GSTMFDHL,Stamford Hill,3,,True,910GSTMFDHL-Outside,False,,False,,,,,
910GSTMRYC,St Mary Cray,6,,False,910GSTMRYC-Outside,False,,False,,,,,
910GSTOTNHM,South Tottenham,3,,False,910GSTOTNHM-Outside,False,,False,,,,,
910GSTRETHM,Streatham,3,,True,910GSTRETHM-Outside,False,,False,,,,,
910GSURREYQ,Surrey Quays,2,,False,910GSURREYQ-Outside,False,,False,,,,,
910GSUTTON,Sutton,5,,True,910GSUTTON-Outside,False,,False,,,,,
910GSUTTONC,Sutton Common,4,,False,910GSUTTONC-Outside,False,,False,,,,,
910GSVNKNGS,Seven Kings,4,,True,910GSVNKNGS-Outside,False,,False,,,,,
910GSWLY,Swanley,8,,False,910GSWLY-Outside,False,,False,,,,,
910GTAPLOW,Taplow,Outside,,False,910GTAPLOW-Outside,False,,False,,,,,
910GTHBLDSG,Theobalds Grove,7,,True,910GTHBLDSG-Outside,False,,False,,,,,
910GTOOTING,Tooting,3,,True,910GTOOTING-Outside,False,,False,,,,,
910GTULSEH,Tulse Hill,3,,True,910GTULSEH-Outside,False,,False,,,,,
910GTURKYST,Turkey Street,6,,True,910GTURKYST-Outside,False,,False,,,,,
910GTWYFORD,Twyford,Outside,,True,910GTWYFORD-Outside,False,,False,,,,,
910GUPRHLWY,Upper Holloway,2,,False,910GUPRHLWY-Outside,False,,False,,,,,
910GWAPPING,Wapping,2,,False,910GWAPPING-Outside,False,,False,,,,,
910GWATFDHS,Watford High Street,8,,True,910GWATFDHS-Outside,False,,False,,,,,
910GWCOMBEP,Westcombe Park,3,,False,910GWCOMBEP-Outside,False,,False,,,,,
910GWDGRNPK,Woodgrange Park,3|4,,True,910GWDGRNPK-Outside,False,,False,,,,,
910GWDRYTON,West Drayton,6,,False,910GWDRYTON-Outside,False,,False,,,,,
910GWDST,Wood Street,4,,True,910GWDST-Outside,False,,False,,,,,
910GWEALING,West Ealing,3,,False,910GWEALING-Outside,False,,False,,,,,
910GWHHRTLA,White Hart Lane,3,,True,910GWHHRTLA-Outside,False,,False,,,,,
910GWHMDSTD,West Hampstead,2,HUBWHD,True,910GWHMDSTD-Outside,False,,False,,,,,
910GWHMPSTM,West Hampstead Thameslink,2,HUBWHD,True,910GWHMPSTM-Outside,False,,False,,,,,
910GWIMLCHS,Wimbledon Chase,3,,False,910GWIMLCHS-Outside,False,,False,,,,,
910GWLTHQRD,Walthamstow Queen's Road,3,,False,910GWLTHQRD-Outside,False,,False,,,,,
910GWNDSWRD,Wandsworth Road,2,,False,910GWNDSWRD-Outside,False,,False,,,,,
910GWNSTDPK,Wanstead Park,3,,False,910GWNSTDPK-Outside,False,,False,,,,,
910GWSUTTON,West Sutton,5,,False,910GWSUTTON-Outside,False,,False,,,,,
940GZZALGWP,IFS Cloud Greenwich Peninsula,Outside,HUBNGW,False,940GZZALGWP-Outside,False,,False,,Full,,,
940GZZALRDK,IFS Cloud Royal Docks,Outside,HUBRVC,False,940GZZALRDK-Outside,False,,False,,,,,
940GZZCRADD,Addiscombe,Trams fare zone,,False,940GZZCRADD-Outside,False,,False,,,,,
940GZZCRADV,Addington Village,Trams fare zone,,False,940GZZCRADV-Outside,False,,False,,,,,
940GZZCRAMP,Ampere Way,Trams fare zone,,False,940GZZCRAMP-Outside,False,,False,,,,,
940GZZCRARA,Arena,Trams fare zone,,False,940GZZCRARA-Outside,False,,False,,,,,
940GZZCRAVE,Avenue Road,Trams fare zone,,False,940GZZCRAVE-Outside,False,,False,,,,,
940GZZCRBED,Beddington Lane,Trams fare zone,,False,940GZZCRBED-Outside,False,,False,,,,,
940GZZCRBGV,Belgrave Walk,Trams fare zone,,False,940GZZCRBGV-Outside,False,,False,,,,,
940GZZCRBLA,Blackhorse Lane,Trams fare zone,,False,940GZZCRBLA-Outside,False,,False,,,,,
940GZZCRBRD,Beckenham Road,Trams fare zone,,False,940GZZCRBRD-Outside,False,,False,,,,,
940GZZCRCEN,George Street,Trams fare zone,,False,940GZZCRCEN-Outside,False,,False,,,,,
940GZZCRCHR,Church Street,Trams fare zone,,False,940GZZCRCHR-Outside,False,,False,,,,,
940GZZCRCOO,Coombe Lane,Trams fare zone,,False,940GZZCRCOO-Outside,False,,False,,,,,
940GZZCRCTR,Centrale,Trams fare zone,,False,940GZZCRCTR-Outside,False,,False,,,,,
940GZZCRDDR,Dundonald Road,Trams fare zone,,False,940GZZCRDDR-Outside,False,,False,,,,,
940GZZCRFLD,Fieldway,Trams fare zone,,False,940GZZCRFLD-Outside,False,,False,,,,,
940GZZCRGRA,Gravel Hill,Trams fare zone,,False,940GZZCRGRA-Outside,False,,False,,,,,
940GZZCRHAR,Harrington Road,Trams fare zone,,False,940GZZCRHAR-Outside,False,,False,,,,,
940GZZCRKGH,King Henry's Drive,Trams fare zone,,False,940GZZCRKGH-Outside,False,,False,,,,,
940GZZCRLEB,Lebanon Road,Trams fare zone,,False,940GZZCRLEB-Outside,False,,False,,,,,
940GZZCRLOY,Lloyd Park,Trams fare zone,,False,940GZZCRLOY-Outside,False,,False,,,,,
940GZZCRMCH,Mitcham,Trams fare zone,,False,940GZZCRMCH-Outside,False,,False,,,,,
940GZZCRMDN,Morden Road,Trams fare zone,,False,940GZZCRMDN-Outside,False,,False,,,,,
940GZZCRMTP,Merton Park,Trams fare zone,,False,940GZZCRMTP-Outside,False,,False,,,,,
940GZZCRNWA,New Addington,Trams fare zone,,False,940GZZCRNWA-Outside,False,,False,,,,,
940GZZCRPHI,Phipps Bridge,Trams fare zone,,False,940GZZCRPHI-Outside,False,,False,,,,,
940GZZCRRVC,Reeves Corner,Trams fare zone,,False,940GZZCRRVC-Outside,False,,False,,,,,
940GZZCRSAN,Sandilands,Trams fare zone,,False,940GZZCRSAN-Outside,False,,False,,,,,
940GZZCRTPA,Therapia Lane,Trams fare zone,,False,940GZZCRTPA-Outside,False,,False,,,,,
940GZZCRWAD,Waddon Marsh,Trams fare zone,,False,940GZZCRWAD-Outside,False,,False,,,,,
940GZZCRWAN,Wandle Park,Trams fare zone,,False,940GZZCRWAN-Outside,False,,False,,,,,
940GZZCRWEL,Wellesley Road,Trams fare zone,,False,940GZZCRWEL-Outside,False,,False,,,,,
940GZZCRWOD,Woodside,Trams fare zone,,False,940GZZCRWOD-Outside,False,,False,,,,,
940GZZDLABR,Abbey Road,2|3,,False,940GZZDLABR-Outside,False,,False,Full,,,,
940GZZDLALL,All Saints,2,,False,940GZZDLALL-Outside,False,,False,,,,,
940GZZDLBEC,Beckton,3,,False,940GZZDLBEC-Outside,False,,False,,,,,
940GZZDLBLA,Blackwall,2,,False,940GZZDLBLA-Outside,False,,False,,,,,
940GZZDLBOW,Bow Church,2,,False,940GZZDLBOW-Outside,False,,False,,,,,
940GZZDLBPK,Beckton Park,3,,False,940GZZDLBPK-Outside,False,,False,,,,,
940GZZDLCLA,Crossharbour,2,,False,940GZZDLCLA-Outside,False,,False,,,,,
HUBCUS,Custom House for ExCel,3,HUBCUS,False,HUBCUS-Outside,False,,False,,,,,
940GZZDLCYP,Cyprus,3,,False,940GZZDLCYP-Outside,False,,False,,,,,
940GZZDLDEP,Deptford Bridge,2|3,,False,940GZZDLDEP-Outside,False,,False,,,,,
940GZZDLDEV,Devons Road,2,,False,940GZZDLDEV-Outside,False,,False,,,,,
940GZZDLEIN,East India,2|3,,False,940GZZDLEIN-Outside,False,,False,,,,,
940GZZDLELV,Elverson Road,2|3,,False,940GZZDLELV-Outside,False,,False,,,,,
940GZZDLGAL,Gallions Reach,3,,False,940GZZDLGAL-Outside,False,,False,,,,,
940GZZDLHEQ,Heron Quays,2,,False,940GZZDLHEQ-Outside,False,,False,,,,,
940GZZDLISL,Island Gardens,2,,False,940GZZDLISL-Outside,False,,False,,,,,
940GZZDLKGV,King George V,3,,False,940GZZDLKGV-Outside,False,,False,,,,,
940GZZDLLDP,Langdon Park,2,,False,940GZZDLLDP-Outside,False,,False,,,,,
940GZZDLMUD,Mudchute,2,,False,940GZZDLMUD-Outside,False,,False,,,,,
940GZZDLPDK,Pontoon Dock,3,,False,940GZZDLPDK-Outside,False,,False,,,,,
940GZZDLPOP,Poplar,2,,False,940GZZDLPOP-Outside,False,,False,,,,,
940GZZDLPRE,Prince Regent,3,,False,940GZZDLPRE-Outside,False,,False,,,,,
940GZZDLPUD,Pudding Mill Lane,2|3,,False,940GZZDLPUD-Outside,False,,False,,,,,
940GZZDLRAL,Royal Albert,3,,False,940GZZDLRAL-Outside,False,,False,,,,,
940GZZDLRVC,Royal Victoria,3,HUBRVC,False,940GZZDLRVC-Outside,False,,False,,,,,Full
940GZZDLSHS,Stratford High Street,2|3,,False,940GZZDLSHS-Outside,False,,False,Full,,,,
940GZZDLSIT,Stratford International,2|3,,False,940GZZDLSIT-Outside,False,,False,Full,,Partial,,
940GZZDLSOQ,South Quay,2,,False,940GZZDLSOQ-Outside,False,,False,,,,,
940GZZDLSTL,Star Lane,2|3,,False,940GZZDLSTL-Outside,False,,False,Full,,Partial,,
940GZZDLWFE,Westferry,2,,False,940GZZDLWFE-Outside,False,,False,,Full,,,
940GZZDLWIQ,West India Quay,2,,False,940GZZDLWIQ-Outside,False,,False,,,,,
940GZZDLWSV,West Silvertown,3,,False,940GZZDLWSV-Outside,False,,False,,,,,
940GZZLUACT,Acton Town,3,,True,940GZZLUACT-Outside,False,,False,,,,,
940GZZLUACY,Archway,2|3,,True,940GZZLUACY-Outside,False,,False,,,,,
940GZZLUADE,Aldgate East,1,,True,940GZZLUADE-Outside,False,,False,,,,,
940GZZLUAGL,Angel,1,,True,940GZZLUAGL-Outside,False,,False,,,,,
940GZZLUALD,Aldgate,1,,True,940GZZLUALD-Outside,False,,False,,,,,
940GZZLUALP,Alperton,4,,True,940GZZLUALP-Outside,False,,False,,,,,
940GZZLUASG,Arnos Grove,4,,True,940GZZLUASG-Outside,False,,False,,,,,
940GZZLUASL,Arsenal,2,,True,940GZZLUASL-Outside,False,,False,,,,,
940GZZLUBBB,Bromley-by-Bow,2|3,,True,940GZZLUBBB-Outside,False,,False,,,,,
940GZZLUBBN,Barbican,1,,True,940GZZLUBBN-Outside,False,,False,,,,,
940GZZLUBDS,Bounds Green,3|4,,True,940GZZLUBDS-Outside,False,,False,,,,,
940GZZLUBEC,Becontree,5,,True,940GZZLUBEC-Outside,False,,False,,,,,
940GZZLUBKE,Barkingside,4,,True,940GZZLUBKE-Outside,True,2.0,False,,,,,
940GZZLUBKH,Buckhurst Hill,5,,True,940GZZLUBKH-Outside,True,,False,,,,,
940GZZLUBLG,Bethnal Green,2,,True,940GZZLUBLG-Outside,False,,False,,,,,
940GZZLUBMY,Bermondsey,2,,True,940GZZLUBMY-Outside,False,,False,,,,,
HUBBDS,Bond Street,1,HUBBDS,False,HUBBDS-Outside,False,,False,,,,,
940GZZLUBOR,Borough,1,,True,940GZZLUBOR-Outside,False,,False,,,,,
940GZZLUBOS,Boston Manor,4,,True,940GZZLUBOS-Outside,False,,False,,,,,
940GZZLUBSC,Barons Court,2,,True,940GZZLUBSC-Outside,False,,False,,,,,
940GZZLUBST,Baker Street,1,,True,940GZZLUBST-Outside,False,,False,,,,,
940GZZLUBTK,Burnt Oak,4,,True,940GZZLUBTK-Outside,False,,False,,,,,
940GZZLUBTX,Brent Cross,3,,True,940GZZLUBTX-Outside,False,,False,,,,,
940GZZLUBWR,Bow Road,2,,False,940GZZLUBWR-Outside,False,,False,,,,,
940GZZLUBWT,Bayswater,1,,True,940GZZLUBWT-Outside,False,,False,,,,,
940GZZLUBZP,Belsize Park,2,,True,940GZZLUBZP-Outside,False,,False,,,,,
940GZZLUCAR,Caledonian Road,2,,True,940GZZLUCAR-Outside,False,,False,,,,,
940GZZLUCFM,Chalk Farm,2,,True,940GZZLUCFM-Outside,False,,False,,,,,
940GZZLUCGN,Covent Garden,1,,True,940GZZLUCGN-Outside,False,,False,,,,,
940GZZLUCHL,Chancery Lane,1,,True,940GZZLUCHL-Outside,False,,False,,,,,
940GZZLUCKS,Cockfosters,5,,True,940GZZLUCKS-Outside,False,,False,,,,,
940GZZLUCND,Colindale,4,,True,940GZZLUCND-Outside,False,,False,,,,,
940GZZLUCPC,Clapham Common,2,,True,940GZZLUCPC-Outside,False,,False,,,,,
940GZZLUCPK,Canons Park,5,,True,940GZZLUCPK-Outside,False,,False,,,,,
940GZZLUCPN,Clapham North,2,,True,940GZZLUCPN-Outside,False,,False,,,,,
940GZZLUCPS,Clapham South,2|3,,True,940GZZLUCPS-Outside,False,,False,,,,,
